"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"rise",0,0,0,0,0,0,0,0.84,0.14,0.4575,0.185357142857143,0.515,0.2265625,0.475,0.254166666666667,0.4225,0.271,0.4525
"legal",0.28,0.53,0.363333333333333,0.635,0.43125,0.4225,0.4295,0,0.357916666666667,0,0.306785714285714,0,0.2684375,0.285,0.270277777777778,0.2925,0.2725,0.3525
"benefits",0.105,0,0.07,0.295,0.12625,0,0.101,0.3225,0.137916666666667,0.2775,0.157857142857143,0.4275,0.1915625,0.3775,0.212222222222222,0.4675,0.23775,0.685
"music",0.3575,0.32,0.345,0.2675,0.325625,0.61,0.3825,0.405,0.38625,0.3775,0.385,0,0.336875,0.3625,0.339722222222222,0,0.30575,0
"ondemand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0.114,1.9
"advertising",0.27125,0.29,0.2775,0.39,0.305625,0.57,0.3585,0.3075,0.35,0.325,0.346428571428571,0,0.303125,0.275,0.3,0.33,0.303,0
"technologies",0.18125,0.2625,0.208333333333333,0.31,0.23375,0.4675,0.2805,0.405,0.30125,0,0.258214285714286,0.3725,0.2725,0,0.242222222222222,0.4675,0.26475,0.355
"opportunities",0.095,0,0.0633333333333333,0.2625,0.113125,0.32,0.1545,0.3,0.17875,0.285,0.193928571428571,0.35,0.2134375,0.345,0.228055555555556,0.5075,0.256,0.41
"billion",0.1025,0.22,0.141666666666667,0.3625,0.196875,0,0.1575,0,0.13125,0.3425,0.161428571428571,0.3075,0.1796875,0.385,0.2025,0.5225,0.2345,0.575
"workers",0,0,0,0,0,0,0,0,0,0.5725,0.0817857142857143,0.325,0.1121875,0,0.0997222222222222,0.6725,0.157,1.3475
"drivers",0.14625,0,0.0975,0,0.073125,0,0.0585,0,0.04875,0,0.0417857142857143,0,0.0365625,0.395,0.0763888888888889,0.8775,0.1565,1.34
"rent",0,0,0,0,0,0,0,0,0,0.28,0.04,0.5775,0.1071875,0.8775,0.192777777777778,0.5625,0.22975,0.5725
"member",0.37375,0.255,0.334166666666667,0.3475,0.3375,0.3625,0.3425,0.4775,0.365,0.3625,0.364642857142857,0,0.3190625,0.255,0.311944444444444,0,0.28075,0
"traditional",0.105,0,0.07,0,0.0525,0,0.042,0.3275,0.0895833333333333,0,0.0767857142857143,0.49,0.1284375,0.555,0.175833333333333,0.5325,0.2115,0.68
"environmental",0.15,0.2525,0.184166666666667,0.51,0.265625,0.6225,0.337,0.445,0.355,0.2775,0.343928571428571,0.3275,0.341875,0,0.303888888888889,0,0.2735,0
"consumption",0.16375,0.195,0.174166666666667,0,0.130625,0,0.1045,0.38,0.150416666666667,0.31,0.173214285714286,0.4225,0.204375,0.3575,0.221388888888889,0.295,0.22875,0.445
"costs",0.24375,0,0.1625,0,0.121875,0,0.0975,0.275,0.127083333333333,0.285,0.149642857142857,0.5375,0.198125,0.28,0.207222222222222,0.3325,0.21975,0.5075
"politics",0.24,0.2225,0.234166666666667,0,0.175625,0.4325,0.227,0.2975,0.23875,0.25,0.240357142857143,0,0.2103125,0.345,0.225277777777778,0,0.20275,0.465
"american",0.33375,0.3225,0.33,0.3225,0.328125,0.5175,0.366,0.3525,0.36375,0,0.311785714285714,0,0.2728125,0,0.2425,0,0.21825,0.2975
"leadership",0.22125,0.53,0.324166666666667,0.3375,0.3275,0.3625,0.3345,0.5275,0.366666666666667,0.265,0.352142857142857,0,0.308125,0,0.273888888888889,0,0.2465,0
"investment",0.28625,0.3675,0.313333333333333,0.54,0.37,0,0.296,0.33,0.301666666666667,0,0.258571428571429,0.335,0.268125,0.2925,0.270833333333333,0,0.24375,0
"funding",0.125,0.185,0.145,0.35,0.19625,0,0.157,0,0.130833333333333,0,0.112142857142857,0.4925,0.1596875,0.4375,0.190555555555556,0.3575,0.20725,0.325
"house",0.11875,0.1925,0.143333333333333,0.5725,0.250625,0,0.2005,0,0.167083333333333,0.3075,0.187142857142857,0,0.16375,0.2975,0.178611111111111,0.29,0.18975,0.4125
"problem",0.21625,0.225,0.219166666666667,0,0.164375,0.445,0.2205,0.36,0.24375,0,0.208928571428571,0.41,0.2340625,0,0.208055555555556,0,0.18725,0.3875
"europe",0.1075,0.225,0.146666666666667,0,0.11,0.33,0.154,0,0.128333333333333,0.2725,0.148928571428571,0.335,0.1721875,0.36,0.193055555555556,0,0.17375,0.4125
"london",0.09,0.225,0.135,0.2825,0.171875,1.1475,0.367,0,0.305833333333333,0,0.262142857142857,0,0.229375,0.315,0.238888888888889,0,0.215,0
"political",0.345,0.2975,0.329166666666667,0.2825,0.3175,0.47,0.348,0.325,0.344166666666667,0,0.295,0,0.258125,0,0.229444444444444,0,0.2065,0
"brands",0,0,0,0,0,0,0,0.3225,0.05375,0,0.0460714285714286,0,0.0403125,0.4875,0.09,0.81,0.162,0.4225
"changing",0,0,0,0,0,0.3075,0.0615,0.33,0.10625,0.3225,0.137142857142857,0.34,0.1625,0,0.144444444444444,0.39,0.169,0.3525
"past",0.165,0,0.11,0,0.0825,0,0.066,0,0.055,0.25,0.0828571428571429,0.3525,0.1165625,0.3025,0.137222222222222,0.36,0.1595,0.445
"transportation",0.12125,0,0.0808333333333333,0.36,0.150625,0,0.1205,0.3825,0.164166666666667,0,0.140714285714286,0,0.123125,0,0.109444444444444,0.5275,0.15125,0.4825
"price",0.14375,0,0.0958333333333333,0.3075,0.14875,0.3225,0.1835,0,0.152916666666667,0,0.131071428571429,0,0.1146875,0.26,0.130833333333333,0.365,0.15425,0.395
"connect",0,0,0,0,0,0,0,0,0,0.305,0.0435714285714286,0.3625,0.0834375,0.38,0.116388888888889,0.4175,0.1465,0.435
"lyft",0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0.0472222222222222,0.805,0.123,0.6675
"trend",0,0,0,0,0,0,0,0,0,0.295,0.0421428571428571,0.3825,0.0846875,0.465,0.126944444444444,0.375,0.15175,0.3275
"entrepreneurs",0,0,0,0,0,0,0,0,0,0.3075,0.0439285714285714,0.51,0.1021875,0.375,0.1325,0.3175,0.151,0.305
"smart",0.2125,0.245,0.223333333333333,0,0.1675,0.425,0.219,0,0.1825,0.3925,0.2125,0,0.1859375,0.3175,0.200555555555556,0,0.1805,0
"tax",0.33375,0,0.2225,0.435,0.275625,0.3225,0.285,0,0.2375,0,0.203571428571429,0,0.178125,0,0.158333333333333,0,0.1425,0.315
"rental",0,0,0,0,0,0,0,0,0,0,0,0.32,0.04,0.53,0.0944444444444444,0.45,0.13,0.4225
"quality",0,0.2475,0.0825,0.2675,0.12875,0.325,0.168,0,0.14,0,0.12,0.3075,0.1434375,0.255,0.155833333333333,0.32,0.17225,0
"care",0.165,0.215,0.181666666666667,0,0.13625,0.385,0.186,0,0.155,0,0.132857142857143,0,0.11625,0,0.103333333333333,0.3375,0.12675,0.4125
"risk",0.14,0.2725,0.184166666666667,0.47,0.255625,0.3725,0.279,0,0.2325,0.27,0.237857142857143,0,0.208125,0,0.185,0,0.1665,0
"theory",0.11375,0.4325,0.22,0,0.165,0.6225,0.2565,0.3375,0.27,0,0.231428571428571,0,0.2025,0,0.18,0,0.162,0
"china",0.265,0.2175,0.249166666666667,0,0.186875,0.45,0.2395,0.4,0.26625,0,0.228214285714286,0,0.1996875,0,0.1775,0,0.15975,0
"renting",0,0,0,0,0,0,0,0,0,0,0,0.3325,0.0415625,0.49,0.0913888888888889,0.38,0.12025,0.39
"opportunity",0,0,0,0,0,0,0,0,0,0.2825,0.0403571428571429,0.3125,0.074375,0.3075,0.100277777777778,0.3625,0.1265,0.3025
"zipcar",0,0,0,0,0,0,0,0.3975,0.06625,0.2975,0.0992857142857143,0.4325,0.1409375,0.3475,0.163888888888889,0,0.1475,0
"european",0,0.1975,0.0658333333333333,0,0.049375,0.8475,0.209,0,0.174166666666667,0,0.149285714285714,0,0.130625,0.425,0.163333333333333,0,0.147,0
"p2p",0.14875,0,0.0991666666666667,0,0.074375,0,0.0595,0,0.0495833333333333,0.23,0.0753571428571429,0.5175,0.130625,0.4175,0.1625,0,0.14625,0
"institute",0.22,0.23,0.223333333333333,0.3975,0.266875,0.3775,0.289,0,0.240833333333333,0,0.206428571428571,0,0.180625,0,0.160555555555556,0,0.1445,0
"countries",0.2325,0,0.155,0.32,0.19625,0.32,0.221,0,0.184166666666667,0,0.157857142857143,0.3325,0.1796875,0,0.159722222222222,0,0.14375,0
"virtual",0.09625,0.335,0.175833333333333,0,0.131875,0.475,0.2005,0.4225,0.2375,0,0.203571428571429,0,0.178125,0,0.158333333333333,0,0.1425,0
"hotel",0.10875,0,0.0725,0,0.054375,0,0.0435,0,0.03625,0,0.0310714285714286,0,0.0271875,0.33,0.0608333333333333,0.4675,0.1015,0.37
"apps",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2925,0.0325,0.4725,0.0765,0.5925
"oil",0.375,0,0.25,0,0.1875,0,0.15,0.6025,0.225416666666667,0,0.193214285714286,0,0.1690625,0,0.150277777777778,0,0.13525,0
"carbon",0.11,0.275,0.165,0.4575,0.238125,0.3625,0.263,0,0.219166666666667,0,0.187857142857143,0,0.164375,0,0.146111111111111,0,0.1315,0
"performance",0.14125,0.365,0.215833333333333,0.2775,0.23125,0.3725,0.2595,0,0.21625,0,0.185357142857143,0,0.1621875,0,0.144166666666667,0,0.12975,0
"oxford",0.24875,0.315,0.270833333333333,0,0.203125,0.4825,0.259,0,0.215833333333333,0,0.185,0,0.161875,0,0.143888888888889,0,0.1295,0
"taxi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,0.0615,0.675
"offers",0,0,0,0,0,0,0,0.3625,0.0604166666666667,0,0.0517857142857143,0.32,0.0853125,0.305,0.109722222222222,0.29,0.12775,0
"driver",0.1675,0,0.111666666666667,0,0.08375,0,0.067,0,0.0558333333333333,0,0.0478571428571429,0,0.041875,0,0.0372222222222222,0.415,0.075,0.4725
"corporations",0.41,0,0.273333333333333,0,0.205,0,0.164,0,0.136666666666667,0,0.117142857142857,0,0.1025,0.39,0.134444444444444,0,0.121,0
"friends",0,0,0,0,0,0,0,0.3025,0.0504166666666667,0.2875,0.0842857142857143,0.365,0.119375,0.255,0.134444444444444,0,0.121,0
"buying",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2875,0.0319444444444444,0.545,0.08325,0.3675
"manufacturing",0,0,0,0,0,0.3725,0.0745,0.315,0.114583333333333,0,0.0982142857142857,0.4525,0.1425,0,0.126666666666667,0,0.114,0
"employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.044,0.6825
"adobe",0,0,0,0,0,0,0,1.1225,0.187083333333333,0,0.160357142857143,0,0.1403125,0,0.124722222222222,0,0.11225,0
