"","GSC.2011.X","GSC.2011.Y","GSC.2010.X","GSC.2010.Y","GSC.2009.X","GSC.2009.Y","GSC.2008.X","GSC.2008.Y","GSC.2007.X","GSC.2007.Y","GSC.2012.X","GSC.2012.Y","GSC.2013.X","GSC.2013.Y","GSC.2014.X","GSC.2014.Y","GSC.2015.X","GSC.2015.Y","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"entrepreneurship",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60151802656546,7.87476280834915,4.25230333097094,8.92983699503898,4.70479704797048,0,3.51320321469575,0,2.93271995399655,0,2.38484919335983,0,2.45822622107969,0,2.05190102595051,0,1.84782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jeremiahowyang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0899742930591,1.0527727486086,8.75075437537719,1.82367149758454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"usa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.450184501845,3.4443168771527,0,2.87521564117309,0,2.33808744447042,0,2.41002570694087,0,2.0116676725005,0,1.81159420289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2615166548547,4.61254612546125,0,3.4443168771527,0,2.87521564117309,0,2.33808744447042,0,2.41002570694087,0,2.0116676725005,0,1.81159420289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"israel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12333965844402,7.49525616698292,4.41767068273091,7.512402551382,4.50492004920049,0,3.36394948335247,0,2.80812727621238,0,2.28353207076611,0,2.35379177377892,0,1.96472876014216,0,1.76932367149758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fuel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6622390891841,0,6.80368532955351,0,4.4280442804428,0,3.30654420206659,0,2.76020701552616,0,2.24456394669161,0,2.31362467866324,0,1.93120096560048,0,1.73913043478261,0,8.14639905548996,5.89812784617981,7.8827361563518,15.1757164629591,11.7782909930716,6.51767284300291,10.4441453566622,5.23775864906997,9.04245239673737,10.1100052383447,9.54671330709806,3.03017052907739,8.79306191279207,5.59407878126258,8.57631208526041,0,7.24995471862745,0
"hardware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83870967741935,0,2.40963855421687,0,1.56826568265683,0,1.17106773823192,0,0.97757331799885,0,0.794949731119943,9.9290780141844,2.28149100257069,0,1.90437872996714,0,1.71497584541063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"board",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07969639468691,6.92599620493359,3.756201275691,8.57547838412473,4.3050430504305,0,3.21469575200919,0,2.68353459842822,0,2.1822149481724,0,2.24935732647815,0,1.8775564943338,0,1.69082125603865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amazon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30550284629981,0,3.63808173871957,0,2.36777367773678,0,1.76808266360505,7.11825487944891,2.66436649415372,0,2.16662769854259,0,2.23329048843188,0,1.86414537651713,0,1.67874396135266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"infographic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3700189753321,3.82707299787385,0,2.49077490774908,0,1.85993111366246,0,1.55261644623347,6.49798734905118,2.14324682409789,0,2.20919023136247,0,1.84402869979213,0,1.66062801932367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
