"","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"drive",0.408921933085502,0.296428571428571,0.351548269581056,0.238532110091743,0.301522842639594,0.245283018867925,0.283173734610123,0.178057553956835,0.254212091179386,0.183023872679045,0.234848484848485,0.15,0.212354188759279,0.152152152152152,0.199748480402431,0.135764944275583,0.188780826675929,0.0806451612903226
"benefits",0.197026022304833,0.103571428571429,0.14936247723133,0.162844036697248,0.155329949238579,0.218029350104822,0.17578659370725,0.147482014388489,0.16798810703667,0.139257294429708,0.16017316017316,0.132,0.15270413573701,0.121121121121121,0.146090966254454,0.119554204660588,0.141542202153526,0.352822580645161
"stations",0,0,0,0.114678899082569,0.050761421319797,0,0.0341997264021888,0.273381294964029,0.10009910802775,0.244031830238727,0.139249639249639,0.186,0.151643690349947,0.385385385385385,0.200586879060994,0.192502532928065,0.199201111497048,0
"taxi",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12012012012012,0.0251519597568644,0.579533941236069,0.120180618270233,0.452620967741935
"states",0.256505576208178,0.157142857142857,0.205828779599271,0.16743119266055,0.188832487309645,0.182389937106918,0.186730506155951,0.161870503597122,0.1798810703667,0.246684350132626,0.198051948051948,0.118,0.176829268292683,0.182182182182182,0.177950115279816,0.120567375886525,0.168113928447378,0.172379032258065
"research",0.182156133828996,0.125,0.153005464480874,0.130733944954128,0.143147208121827,0.153039832285115,0.146374829001368,0.215827338129496,0.165510406342914,0.175066312997347,0.168109668109668,0.169,0.168345705196182,0.222222222222222,0.17962691259694,0.121580547112462,0.169676971170545,0.162298387096774
"employees",0.204460966542751,0.157142857142857,0.180327868852459,0.18348623853211,0.181725888324873,0.262054507337526,0.207934336525308,0.107913669064748,0.180376610505451,0.188328912466843,0.182539682539683,0.081,0.155620360551432,0.144144144144144,0.153217354852232,0.113475177304965,0.146405001736714,0.27116935483871
"private",0.171003717472119,0.164285714285714,0.167577413479053,0.144495412844037,0.157360406091371,0.125786163522013,0.147058823529412,0.163669064748201,0.151635282457879,0.123342175066313,0.143939393939394,0.128,0.139713679745493,0.18018018018018,0.148186962900859,0.228976697061803,0.162035428968392,0.165322580645161
"consumer",0.226765799256506,0,0.111111111111111,0.114678899082569,0.112690355329949,0.132075471698113,0.119015047879617,0.111510791366906,0.116947472745292,0.149867374005305,0.125901875901876,0.163,0.135737009544008,0.147147147147147,0.138126178998114,0.124620060790274,0.13581104550191,0.299395161290323
"model",0.0594795539033457,0,0.029143897996357,0.0986238532110092,0.0598984771573604,0.0985324947589098,0.0725034199726402,0.129496402877698,0.0882061446977205,0.179045092838196,0.112914862914863,0.115,0.113467656415695,0.166166166166166,0.124502200796479,0.191489361702128,0.135984716915596,0.285282258064516
